# value probability target_probability
1.000000000000000000e+00 2.592737521455096283e-02 2.592410808460171578e-02
2.000000000000000000e+00 4.518152372945201389e-02 4.518336126219869159e-02
3.000000000000000000e+00 7.046757466164775552e-02 7.046903192538103711e-02
4.000000000000000000e+00 9.834663494579168330e-02 9.834745653885010319e-02
5.000000000000000000e+00 1.228210085878704144e-01 1.228211098677350621e-01
6.000000000000000000e+00 1.372549467425467351e-01 1.372549323212333972e-01
7.000000000000000000e+00 1.372551098778674039e-01 1.372549323212333972e-01
8.000000000000000000e+00 1.228210041708105715e-01 1.228211098677350621e-01
9.000000000000000000e+00 9.834684251802150445e-02 9.834745653885010319e-02
1.000000000000000000e+01 7.046720680393391001e-02 7.046903192538103711e-02
1.100000000000000000e+01 4.518353353663466521e-02 4.518336126219869159e-02
1.200000000000000000e+01 2.592723921087228961e-02 2.592410808460171578e-02
